"r","var"
0.907392301945866,"lower"
0.906804421780991,"FBDL"
0.905394555264483,"HDL"
0.905110981991205,"FDL"
0.905045836500417,"TDL"
0.904337229397311,"upper"
0.895408617080203,"UDL"
0.895371078070358,"RDL"
0.870611055566634,"FDB"
0.868558402517027,"TPB"
0.857725491605549,"TDB"
0.854104132883397,"HDB"
0.838835636377141,"FMSB"
0.830440581230356,"HPB"
0.825982834295658,"RPB"
0.819548852280661,"HMSB"
0.819036654076164,"TMSB"
0.810251856670391,"RDB"
0.808477066088017,"RMSB"
0.758865570696777,"UMSB"
